rating ID,Product ID,title,brand,manufacturer,grade,comment,category,tag1,tag2,tag3,price,,,,
616,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,regret,,Breastpumps,breastpumps,,,227.51,,,,
626,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
634,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
656,100,Medela Freestyle Breast Pump,Medela,Medela,love,,Breastpumps,breastpumps,,,309.9,,,,
682,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,love,,Breastpumps,breastpump accessories,,,35.11,,,,
694,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
745,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
771,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
772,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
819,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
828,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,want,,Breastpumps,breastpump accessories,,,19.99,,,,
852,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,want,,Breastpumps,breastpumps,,,227.51,,,,
928,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
934,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
945,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
947,100,Medela Freestyle Breast Pump,Medela,Medela,love,,Breastpumps,breastpumps,,,309.9,,,,
985,105,Medela Easy Expression Bustier,Medela,Medela,love,,Breastpumps,breastpump accessories,nursing bras,,,,,,
999,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
1012,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
1042,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,regret,,Breastpumps,breastpump accessories,,,19.99,,,,
1060,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
1080,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,regret,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
1083,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
1125,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,make clean up easy,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
1141,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
1203,196,Fresh Baby Food and Breast Milk Trays,Fresh Baby,Fresh Baby,regret,,Nursing,milk storage,freezer trays,,9.71,,,,
1209,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,regret,,Nursing,milk storage,,,17.24,,,,
1286,105,Medela Easy Expression Bustier,Medela,Medela,have,,Breastpumps,breastpump accessories,nursing bras,,,,,,
1315,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,regret,,Breastpumps,breastpumps,,,158.99,,,,
1322,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
1327,99,Hygeia EnJoye Breast Pump,Hygeia,Hygeia,regret,,Breastpumps,breastpumps,,,189.32,,,,
1392,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
1434,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
1458,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,have,,Breastpumps,breastpump accessories,,,35.11,,,,
1493,114,Milkies Milk Saver,Milkies,Milkies,regret,,Nursing,milk storage,nursing pads,,25,,,,
1551,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
1617,105,Medela Easy Expression Bustier,Medela,Medela,have,,Breastpumps,breastpump accessories,nursing bras,,,,,,
1641,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
1648,196,Fresh Baby Food and Breast Milk Trays,Fresh Baby,Fresh Baby,have,,Nursing,milk storage,freezer trays,,9.71,,,,
1728,196,Fresh Baby Food and Breast Milk Trays,Fresh Baby,Fresh Baby,have,,Nursing,milk storage,freezer trays,,9.71,,,,
1741,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,love,awesome pump! so much quieter than others. lactation consultant had recommended and i'm glad i went with it!,Breastpumps,breastpumps,,,158.99,,,,
1750,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,have,,Breastpumps,breastpump accessories,,,35.11,,,,
1755,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
1805,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
1820,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
1821,105,Medela Easy Expression Bustier,Medela,Medela,have,,Breastpumps,breastpump accessories,nursing bras,,,,,,
1838,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
1901,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
1911,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
1941,114,Milkies Milk Saver,Milkies,Milkies,want,,Nursing,milk storage,nursing pads,,25,,,,
1970,105,Medela Easy Expression Bustier,Medela,Medela,love,,Breastpumps,breastpump accessories,nursing bras,,,,,,
1994,100,Medela Freestyle Breast Pump,Medela,Medela,love,,Breastpumps,breastpumps,,,309.9,,,,
1997,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,,Nursing,milk storage,,,17.24,,,,
2070,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
2102,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
2162,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
2164,105,Medela Easy Expression Bustier,Medela,Medela,love,,Breastpumps,breastpump accessories,nursing bras,,,,,,
2187,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
2193,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
2196,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
2217,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
2249,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,"Loved the double ziploc. Easy to use and write on. I filled them pretty high during the later months of breastfeeding (produced lots of milk), so I put the bag inside a coffee mug so it would freeze upright.",Nursing,milk storage,,,17.24,,,,
2286,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
2434,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
2474,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,,Nursing,milk storage,,,17.24,,,,
2481,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,love,,Breastpumps,breastpump accessories,,,19.99,,,,
2517,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
2545,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,love,,Breastpumps,breastpump accessories,,,19.99,,,,
2554,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
2555,105,Medela Easy Expression Bustier,Medela,Medela,love,,Breastpumps,breastpump accessories,nursing bras,,,,,,
2567,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,regret,"Expensive and ended up primarily just using Medela hands-free bra--I found this one a little cumbersome to get on and off, and also got in the way of massaging while pumping (which I had to do to avoid getting plugged ducts).",Breastpumps,breastpump accessories,,,35.11,,,,
2584,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,,Nursing,milk storage,,,17.24,,,,
2661,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
2709,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,love,,Breastpumps,breastpump accessories,,,35.11,,,,
2716,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
2720,100,Medela Freestyle Breast Pump,Medela,Medela,love,,Breastpumps,breastpumps,,,309.9,,,,
2847,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
2879,196,Fresh Baby Food and Breast Milk Trays,Fresh Baby,Fresh Baby,want,,Nursing,milk storage,freezer trays,,9.71,,,,
2888,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,,Nursing,milk storage,,,17.24,,,,
2894,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,love,,Breastpumps,breastpump accessories,,,19.99,,,,
2927,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
2955,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
2983,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,have,,Breastpumps,breastpump accessories,,,35.11,,,,
2987,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
2990,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
3054,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
3075,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
3092,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
3096,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,,Nursing,milk storage,,,17.24,,,,
3097,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,love,,Breastpumps,breastpump accessories,,,19.99,,,,
3102,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
3105,105,Medela Easy Expression Bustier,Medela,Medela,love,,Breastpumps,breastpump accessories,nursing bras,,,,,,
3132,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
3133,105,Medela Easy Expression Bustier,Medela,Medela,have,,Breastpumps,breastpump accessories,nursing bras,,,,,,
3151,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
3168,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,,Nursing,milk storage,,,17.24,,,,
3205,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
3221,196,Fresh Baby Food and Breast Milk Trays,Fresh Baby,Fresh Baby,love,,Nursing,milk storage,freezer trays,,9.71,,,,
3228,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,,Nursing,milk storage,,,17.24,,,,
3317,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
3347,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
3370,105,Medela Easy Expression Bustier,Medela,Medela,have,,Breastpumps,breastpump accessories,nursing bras,,,,,,
3387,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
3400,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
3463,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,love,,Breastpumps,breastpump accessories,,,35.11,,,,
3471,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
3474,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
3511,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
3528,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
3537,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,regret,This was the worst purchase we bought. I found it so uncomfortable and awkward.,Breastpumps,breastpump accessories,,,35.11,,,,
3579,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
3600,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,love,,Breastpumps,breastpump accessories,,,35.11,,,,
3614,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
3662,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
3678,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
3713,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
3718,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,,,
3790,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
3810,196,Fresh Baby Food and Breast Milk Trays,Fresh Baby,Fresh Baby,have,,Nursing,milk storage,freezer trays,,9.71,,,,
3811,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
3815,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,"My favorite freezer bags ~ they lay flat, don't leak, easy to pour.",Nursing,milk storage,,,17.24,,,,
3822,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
3847,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
3872,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,love,,Breastpumps,breastpump accessories,,,19.99,,,,
3895,98,Ameda Purely Yours Breast Pump,Ameda,Ameda,have,,Breastpumps,breastpumps,,,158.99,,,,
3967,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,MUCH better than Medela! These are great,Nursing,milk storage,,,17.24,,,,
4043,100,Medela Freestyle Breast Pump,Medela,Medela,love,,Breastpumps,breastpumps,,,309.9,,,,
4094,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,,Nursing,milk storage,,,17.24,,,,
4107,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
4133,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,love,,Breastpumps,breastpump accessories,,,35.11,,,,
4134,105,Medela Easy Expression Bustier,Medela,Medela,love,LOVE this bra. Makes pumping 50x easier. must have. it stretches out though so get a smaller size than you think when you try it on!,Breastpumps,breastpump accessories,nursing bras,,,,,,
4141,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
4143,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
4145,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,A total lifesaver at the office.  Worth every penny.,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
4268,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
4270,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
4359,100,Medela Freestyle Breast Pump,Medela,Medela,love,,Breastpumps,breastpumps,,,309.9,,,,
4420,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
4421,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
4424,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
4425,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
4438,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
4439,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,want,,Breastpumps,breastpump accessories,,,35.11,,,,
4440,105,Medela Easy Expression Bustier,Medela,Medela,want,,Breastpumps,breastpump accessories,nursing bras,,,,,,
4441,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
4447,196,Fresh Baby Food and Breast Milk Trays,Fresh Baby,Fresh Baby,want,,Nursing,milk storage,freezer trays,,9.71,,,,
4487,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
4490,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,love,,Breastpumps,breastpump accessories,,,35.11,,,,
4491,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,have,,Breastpumps,breastpump accessories,,,19.99,,,,
4492,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
4554,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
4555,105,Medela Easy Expression Bustier,Medela,Medela,have,,Breastpumps,breastpump accessories,nursing bras,,,,,,
4556,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,love,"Double ziplock feature key! The Medea bags have one zipper line that doesn't always seal shut.
",Nursing,milk storage,,,17.24,,,,
4558,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,love,,Breastpumps,breastpump accessories,,,19.99,,,,
4559,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
4628,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,have,,Breastpumps,breastpump accessories,,,35.11,,,,
4629,100,Medela Freestyle Breast Pump,Medela,Medela,have,,Breastpumps,breastpumps,,,309.9,,,,
4735,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
4736,105,Medela Easy Expression Bustier,Medela,Medela,love,Made double pumping possible! Easier to put on than a sports bra with holes.,Breastpumps,breastpump accessories,nursing bras,,,,,,
4737,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
4777,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
4835,105,Medela Easy Expression Bustier,Medela,Medela,love,,Breastpumps,breastpump accessories,nursing bras,,,,,,
4906,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,love,,Breastpumps,breastpump accessories,,,19.99,,,,
4991,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,love,Couldn't have done without this.,Breastpumps,breastpump accessories,,,35.11,,,,
5012,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,"Never had any issues with this -  parts are easy to clean, would recommend Medela products to anyone who intends to breastfeed and pump",Breastpumps,breastpumps,,,227.51,,,,
5013,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
5018,520,Medela Labeling Lids,Medela,Medela,love,Greatest discovery ever in trying to keep pumped milk in order in fridge!,Nursing,milk storage,nursing miscellaneous,,,,,,
5050,1234,Medela Pump & Save Breastmilk Bags with Easy-Connect Adapter,Medela,Medela,regret,"These bags are the worst. Many of them have leaked when I defrost the milk, they don't hold as much milk as some of the others, and they always spill milk out when pouring it from the bags into bottles. Lansinoh are MUCH better.",Nursing,milk storage,breastpump accessories,,8.99,,,,
5051,100,Medela Freestyle Breast Pump,Medela,Medela,love,"Had been using the large Symphony medela pump for months, but this one is SO tiny, easy to bring anywhere, and pumps just as effectively. Id HIGHLY recommend. Its a little noisier, but not too loud. You can walk around or drive while pumping!",Breastpumps,breastpumps,,,309.9,,,,
5175,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
5204,100,Medela Freestyle Breast Pump,Medela,Medela,love,,Breastpumps,breastpumps,,,309.9,,,,
5205,105,Medela Easy Expression Bustier,Medela,Medela,love,,Breastpumps,breastpump accessories,nursing bras,,,,,,
5234,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
5271,106,Simple Wishes Hands-Free Breastpump Bra,Simple,Simple Wishes,love,,Breastpumps,breastpump accessories,,,35.11,,,,
5281,100,Medela Freestyle Breast Pump,Medela,Medela,love,,Breastpumps,breastpumps,,,309.9,,,,
5322,196,Fresh Baby Food and Breast Milk Trays,Fresh Baby,Fresh Baby,love,,Nursing,milk storage,freezer trays,,9.71,,,,
5329,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
5359,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
5379,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,have,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
5396,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
5426,112,Medela Quick Clean Breastpump & Accessory Wipes,Medela,Medela,want,,Breastpumps,breastpump accessories,,,19.99,,,,
5440,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,have,,Breastpumps,breastpumps,,,227.51,,,,
5467,196,Fresh Baby Food and Breast Milk Trays,Fresh Baby,Fresh Baby,love,,Nursing,milk storage,freezer trays,,9.71,,,,
5485,105,Medela Easy Expression Bustier,Medela,Medela,love,,Breastpumps,breastpump accessories,nursing bras,,,,,,
5503,108,Lansinoh Breastmilk Storage Bags,Lansinoh,Lansinoh,have,,Nursing,milk storage,,,17.24,,,,
5522,101,Medela Pump in Style Advanced Breast Pump with On the Go Tote,Medela,Medela,love,,Breastpumps,breastpumps,,,227.51,,,,
5535,100,Medela Freestyle Breast Pump,Medela,Medela,love,,Breastpumps,breastpumps,,,309.9,,,,
5546,113,Medela Quick Clean Micro Steam Bags,Medela,Medela,love,,Breastpumps,breastpump accessories,sterilizers,,5.37,,,,
