word1,word2,word3,freq,category
breast, pump, would,4,
I, pumping, I,4,
breast, milk, I,4,
pump, I, could,4,
able, walk, around,4,HANDSFREEBRA
baby, control, much,4,
8, times, day,4,TIMEIPUMP
pump, A, pump,4,
first, time, I,4,
pump, I, ve,4,
La, Leche, League,4,
I, think, important,4,
I, m, happy,4,
A, quieter, pump,4,AQUIETERPUMP
pumping, time, I,4,
d, love, pump,4,
help, mom, relax,4,HELPMOMRELAX
breast, pump, pump,4,
breast, pump, parts,4,PARTSEASYCLEAN
brains, get, confused,4,
I, felt, like,4,
find, way, make,4,IWOULDLOVE
I, say, I,4,
3, times, day,4,TIMEIPUMP
pumping, I, would,4,
I, m, excited,4,
pump, directly, storage,4,DIRECTLYSTORAGEBAGS
I, m, going,4,
I, want, able,4,
love, breast, pump,4,
lean, forward, pumping,4,ABLELEANBACK
A, hands, free,4,HANDSFREEBRA
use, hands, free,4,HANDSFREEBRA
make, easier, clean,4,PARTSEASYCLEAN
breast, pumps, I,4,
time, I, m,4,TIMEIPUMP
I, currently, working,4,BACKTOWORK
I, could, get,4,
would, awesome, pumps,4,
hands, free, option,4,HANDSFREEBRA
pumping, work, I,4,BACKTOWORK
would, even, better,4,IWOULDLOVE
Movie, http, ://,4,
paced, bottle, feeding,4,
I, lucky, enough,4,
better, hands, free,4,HANDSFREEBRA
pumps, hands, free,4,HANDSFREEBRA
take, conference, calls,4,AQUIETERPUMP
go, back, work,4,BACKTOWORK
Medela, pump, style,4,
see, breast, pump,4,
would, also, great,4,IWOULDLOVE
My, breast, pump,4,
easy, clean, I,4,PARTSEASYCLEAN
gmail, com, I,4,
I, medela, pump,4,
com, /@, medialab,3,
pumping, I, get,3,
flanges, possibly, opaque,3,THEHARDPLASTIC
My, biggest, problem,3,
thought, I, d,3,
Fewer, parts, wash,3,PARTSEASYCLEAN
20,30, minutes,3,TIMEIPUMP
I, m, done,3,
4, times, day,3,TIMEIPUMP
newborns, stanford, edu,3,
moms, I, know,3,
able, lay, pumping,3,ABLELEANBACK
put, back, together,3,PARTSEASYCLEAN
one, less, thing,3,PARTSEASYCLEAN
A, pump, would,3,IWOULDLOVE
A, way, pump,3,
tubing, hands, free,3,HANDSFREEBRA
The, hands, free,3,HANDSFREEBRA
I, m, holding,3,
..., I, know,3,
pump, takes, half,3,
I, m, currently,3,
A, bonus, would,3,IWOULDLOVE
make, pumping, better,3,
I, used, hospital,3,HOSPITALGRADEPUMP
It, would, cool,3,IWOULDLOVE
I, could, join,3,IWOULDLOVE
taking, time, work,3,BACKTOWORK
Medela, PIS, I,3,
I, ve, pumping,3,
Medela, hospital, grade,3,HOSPITALGRADEPUMP
I, hands, free,3,HANDSFREEBRA
I, m, picturing,3,
My, dream, pump,3,IWOULDLOVE
I, m, also,3,
spend,20, minutes,3,TIMEIPUMP
pump,4, times,3,TIMEIPUMP
would, also, like,3,IWOULDLOVE
multiple, times, per,3,TIMEIPUMP
30, minutes, pump,3,TIMEIPUMP
day, I, m,3,
need, hands, free,3,HANDSFREEBRA
)., I, think,3,
I, m, teacher,3,
https, ://, medium,3,
make, better, I,3,IWOULDLOVE
I, wish, parts,3,IWOULDLOVE
I, m, work,3,BACKTOWORK
sit, back, relax,3,HELPMOMRELAX
hands, free, The,3,HANDSFREEBRA
used, Ameda, Purely,3,
quieter, pump, would,3,AQUIETERPUMP
could, lean, back,3,ABLELEANBACK
way, I, could,3,
wish, breast, pumps,3,IWOULDLOVE
closed, system, pumps,3,HOSPITALGRADEPUMP
It, hands, free,3,HANDSFREEBRA
moms, pump, lot,3,
bottle, storage, bag,3,DIRECTLYSTORAGEBAGS
get, much, milk,3,AMOUNTMILKPUMPED
day, every, day,3,
free, bra, doesn,3,HANDSFREEBRA
one, pump, session,3,TIMEIPUMP
pump, would, allow,3,IWOULDLOVE
I, able, find,3,
milk, supply, ).,3,
The, Medela, pump,3,
http, ://, newborns,3,
actually, hands, free,3,HANDSFREEBRA
medium, com, /@,3,
idea, I, m,3,
Make, hands, free,3,HANDSFREEBRA
pump, The, pump,3,
would, like, able,3,IWOULDLOVE
one, side, time,3,
I, would, use,3,IWOULDLOVE
breast, pump, accessories,3,HANDSFREEBRA
put, pumping, bra,3,HANDSFREEBRA
hands, free, use,3,HANDSFREEBRA
get, things, done,3,
pump, I, need,3,
conference, calls, pumping,3,AQUIETERPUMP
It, really, hard,3,CRIEDFIRSTTIME
I, spent, several,3,
Hi, I, saw,3,
I, WANT, THE,3,IWOULDLOVE
I, wish, breast,3,IWOULDLOVE
A, pump, could,3,IWOULDLOVE
go, hands, free,3,HANDSFREEBRA
doesn, look, like,3,
work, I, would,3,
love, see, breast,3,IWOULDLOVE
I, feel, I,3,
1,5, hours,3,TIMEIPUMP
things, around, house,3,HANDSFREEBRA
different, breasts, I,3,
cried, first, time,3,CRIEDFIRSTTIME
Just, like, baby,3,LIKEBABYSMOUTH
nice, could, pump,3,IWOULDLOVE
would, help, lot,3,IWOULDLOVE
bottles, hands, free,3,HANDSFREEBRA
://, medium, com,3,
I, excited, see,3,
pump, motors, wear,3,
Make, easier, clean,3,PARTSEASYCLEAN
An, easy, way,3,
I, m, always,3,
I, would, loved,3,IWOULDLOVE
every, day, I,3,
breast, pump, doesn,3,
back, work, I,3,BACKTOWORK
nipple, like, baby,3,LIKEBABYSMOUTH
walk, around, house,3,
grade, pump, I,3,HOSPITALGRADEPUMP
Can, ‰Ûª, wait,3,
I, also, think,3,
And, I, m,3,
I, cried, first,3,CRIEDFIRSTTIME
I, m, glad,3,
The, pump, parts,3,PARTSEASYCLEAN
every,2,3,3,TIMEIPUMP
bra, hands, free,3,HANDSFREEBRA
massage, whole, breast,3,MASSAGEWHOLEBREAST
Thank, much, taking,3,
I, hate, lugging,3,CRIEDFIRSTTIME
would, cut, time,3,TIMEIPUMP
I, use, hands,3,HANDSFREEBRA
back, forth, work,3,BACKTOWORK
20, minutes, pumping,3,TIMEIPUMP
truly, hands, free,3,HANDSFREEBRA
improvement, could, made,3,
motion, baby, tongue,3,LIKEBABYSMOUTH
would, great, milk,3,IWOULDLOVE
one, size, fits,3,
://, newborns, stanford,3,
open, system, pumps,3,HOSPITALGRADEPUMP
I, m, nursing,3,
Also, would, great,3,IWOULDLOVE
breast, shield, flange,3,THEHARDPLASTIC
30, minutes, pumping,3,TIMEIPUMP
working, full, time,3,BACKTOWORK
I, used, breastpump,3,
milk, ejection, reflex,3,
quiet, pump, I,3,AQUIETERPUMP
bottle, bag, I,3,DIRECTLYSTORAGEBAGS
use, breast, pumps,3,
6, month, old,3,
Breast, pumps, need,3,
The, current, pumps,3,
flanges, collect, milk,3,DIRECTLYSTORAGEBAGS
like, see, pump,3,IWOULDLOVE
tube, top, looking,3,
stimulate, milk, production,3,AMOUNTMILKPUMPED
I, know, may,3,
many, moms, I,3,
hands, free, work,3,HANDSFREEBRA
great, able, pump,3,IWOULDLOVE
WANT, THE, FEWER,3,PARTSEASYCLEAN
I, ve, got,3,
m, pumping, I,3,
Please, make, pump,3,IWOULDLOVE
https, ://, www,3,
pumping, breast, milk,3,
would, help, pump,3,IWOULDLOVE
Not, Suck, Hackathon,3,
much, room, improvement,3,CRIEDFIRSTTIME
walk, around, pumping,3,HANDSFREEBRA
pumping, storing, milk,3,DIRECTLYSTORAGEBAGS
forward, whole, time,3,ABLELEANBACK
lean, back, milk,3,ABLELEANBACK
better, hand, pump,3,
one, side, pump,3,
working, mom,2,3,BACKTOWORK
hard, plastic, flanges,3,THEHARDPLASTIC
I, m, new,3,
I, m, exclusive,3,
easier, clean, parts,3,PARTSEASYCLEAN
would, able, pump,3,IWOULDLOVE
I, think, pump,3,
dream, pump, would,3,IWOULDLOVE
6, times, day,3,TIMEIPUMP
Thank, much, I,3,
A, quieter, motor,3,AQUIETERPUMP
If, way, make,3,IWOULDLOVE
hands, free, would,3,HANDSFREEBRA
make, hands, free,3,HANDSFREEBRA
freshly, pumped, milk,3,
milk, I, use,3,
Less, parts, clean,3,PARTSEASYCLEAN
make, big, difference,3,
right, size, flange,3,THEHARDPLASTIC
I, wish, pump,3,IWOULDLOVE
THE, FEWER, PARTS,3,PARTSEASYCLEAN
motion, baby, mouth,3,LIKEBABYSMOUTH
)., I, m,3,
pumps, I, would,3,IWOULDLOVE
Hi, I, read,3,
Make, easier, pump,3,
even, though, I,3,
I, would, LOVE,3,IWOULDLOVE
It, d, great,3,
stanford, edu, Breastfeeding,3,
‰ÛÒ, I, wish,3,
put, hands, free,3,HANDSFREEBRA
wearing, hands, free,3,HANDSFREEBRA
I, started, pumping,3,
I, pump, car,3,
work, full, time,3,BACKTOWORK
month, old, son,3,
pump, one, bottle,3,AMOUNTMILKPUMPED
time, It, would,3,IWOULDLOVE
That, would, awesome,3,IWOULDLOVE
pump, I, get,3,
I, m, working,3,BACKTOWORK
pump, parts, I,3,PARTSEASYCLEAN
Please, let, know,3,
I, able, pump,3,
I, go, back,3,BACKTOWORK
MIT, Media, Lab,3,
I, m, using,3,
I, really, wish,3,IWOULDLOVE
First, THANK, YOU,3,
